gid_B73	fam	fam_size	fam_idx	note1	note2	n_mu	mid	sids	gid_W22	map_type	impact	eff	TF45	n.tgt	m.drc	tf.type	eQTL_fc	eQTL_n	eQTL_grp_size	eQTL	B_Embryo	B_Endosperm	B_Internode	B_Leaf10	B_Root	B_Shoot	W_Embryo	W_Endosperm	W_Internode	W_Leaf10	W_Root	W_Shoot	max_W22_exp
Zm00001d011252	MYB_related	109	22	MYB-related-transcription factor 101	Putative MYB-domain histone H1 family protein	1	mu1093204	UFMu-11297	Zm00004b026999	One-to-One	moderate	missense_variant	FALSE	1	1	acti	58.77333333333333	2	5	liu2017,wang2018	20.4	16.4	34	17.5	20.6	15.8	17.9	11.4	25.8	17.9	19	12.5	25.8
Zm00001d011355	C3H	55	13	C3H-transcription factor 346	Zinc finger CCCH domain-containing protein 37	1	mu1078582	UFMu-09029	Zm00004b027091	One-to-One	high	frameshift_variant	FALSE	0							49.2	31.9	33.4	32.8	46.2	50.1	57.5	49.7	46.9	35.1	59	55.2	59
Zm00001d011527	WRKY	121	30	WRKY-transcription factor 42	Probable WRKY transcription factor 71	1	mu1057837	UFMu-07178	Zm00004b027223	One-to-One	low	splice_region_variant	FALSE	7	1	acti					0.5	0.1	21.5	0.6	6.4	2.7	0.2	0	8.5	5.3	6.7	1.8	8.5
Zm00001d011571	Trihelix	46	11	Trihelix-transcription factor 14	6b-interacting protein 1	3	mu1016246|mu1045880|mu1070540	UFMu-01243|UFMu-05381|UFMu-02510	Zm00004b027254	One-to-One	moderate	missense_variant	FALSE	0							6	1.4	10.5	7.5	5.1	3.7	3.7	0.8	8.2	4.6	4	2.7	8.2
Zm00001d011597	E2F/DP	19	4	E2F-DP-transcription factor 29	Transcription factor-like protein DPA	1	mu1054391	UFMu-07008	Zm00004b027274	One-to-One	moderate	missense_variant	FALSE	1	1	acti					22.2	0.9	1.2	0.5	1.1	3.2	18	0.2	1.7	0.2	0.9	2.9	2.9
Zm00001d011712	B3	45	7	ABI3-VP1-transcription factor 19	Putative B3 DNA binding domain family protein	1	mu1078605	UFMu-09010	Zm00004b027375	One-to-One	non-syntenic	stop_retained_variant	FALSE	0							309.3	5.1	0.1	0	0.2	0.4	405.6	5	0	0	0.3	0.5	5
Zm00001d011730	Trihelix	46	12	Trihelix-transcription factor 6	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein	3	mu1049601|mu1054405|mu1095412	UFMu-06119|UFMu-06690|UFMu-11223	Zm00004b027391	One-to-One	moderate	missense_variant	FALSE	0							5.6	4.3	9.6	6.1	6.1	3.9	5.2	1.9	4.6	6.9	5.4	4.7	6.9
Zm00001d011748	MIKC_MADS	42	8	MADS-transcription factor 43	Floral homeotic protein APETALA 3	2	mu1057858|mu1093251	UFMu-07410|UFMu-11976	Zm00004b027415	One-to-One	non-syntenic	splice_region_variant	FALSE	0							28.6	0.3	0	0.7	0.4	1.2	8.5	0.1	0	0	0.5	1.3	8.5
Zm00001d011785	G2-like	61	9	G2-like-transcription factor 56	Transcription factor LUX	1	mu1061016	UFMu-07873	Zm00004b027449	One-to-One	no_change		FALSE	18	0.2222222222222222	mix					0.9	0.4	0.8	0.1	0.1	0.1	0.1	0.3	0.3	0.2	0.1	0	0.3
Zm00001d011843	SRS	9	2	lateral root primordia1	Protein SHI RELATED SEQUENCE 6	1	mu1029983	UFMu-03053	Zm00004b027506	One-to-One	moderate	disruptive_inframe_insertion	FALSE	0							14	0.3	4.4	0.6	6.8	2.5	10.7	0.1	0.8	0.4	4.6	2.6	4.6
Zm00001d011953	ARF	36	7	ARF-transcription factor 25	Auxin response factor 2	1	mu1078636	UFMu-09051	Zm00004b027598	One-to-One	high	splice_donor_variant	FALSE	0							286.7	74.7	266.1	58.7	74.3	64.5	295.1	84.8	184.4	36.9	74.7	57.7	84.8
Zm00001d011969	NAC	126	28	NAC-transcription factor 9	NAC domain containing protein 84	1	mu1054430	UFMu-06583	Zm00004b027610	One-to-One	moderate	disruptive_inframe_insertion	FALSE	3	1	acti					5.8	6.5	18.5	23.1	20.1	20	9.8	13.7	6.7	21.1	21.6	16.5	9.8
Zm00001d012094	C2H2	132	33	""	Zinc finger protein AZF1	3	mu1045905|mu1045905|mu1075242	UFMu-05650|UFMu-06435|UFMu-05650			high	frameshift_variant	FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d012273	bZIP	128	18	bZIP-transcription factor 44	Putative bZIP transcription factor superfamily protein	2	mu1039958|mu1041802	UFMu-03706|UFMu-04347	Zm00004b027848	One-to-One	modifier	intron_variant	FALSE	0							10.1	11	32.1	9	9.1	7.3	11.8	10.8	21.8	12	12.2	8.9	8.9
Zm00001d012294	bZIP	128	19	liguleless related sequence1	liguleless related sequence1	1	mu1049661	UFMu-06477	Zm00004b027868	One-to-Many	high	frameshift_variant	FALSE	0							0.9	0	6.7	3.7	28.7	1.5	2.6	0	2.7	1.6	11.9	0.4	2.7
Zm00001d012337	MYB	163	33	MYB-transcription factor 79	MYB-type transcription factor	1	mu1072393	UFMu-02112	Zm00004b027896	One-to-One	moderate	missense_variant	FALSE	0							9	0.1	7.2	1.6	5.3	24.7	4.6	0.1	4.6	9.3	4.9	14.8	9.3
Zm00001d012379	MYB	163	34	MYB-transcription factor 36	myb domain protein 109	2	mu1016339|mu1029851	UFMu-01869,UFMu-02484,UFMu-03657|UFMu-02484	Zm00004b027920	One-to-One	moderate	missense_variant	FALSE	0							21.6	13.4	12.9	9.7	12.9	11.3	22.8	13.9	11.3	13	10.9	8.4	8.4
Zm00001d012419	WOX	19	7	WUSCHEL-related homeobox 2b	WUSCHEL-related homeobox 2	2	mu1068589|mu1073523	UFMu-08301|UFMu-03526	Zm00004b027948	One-to-One	non-syntenic	conservative_inframe_insertion	FALSE	0							0.8	1.8	0	0	0	0	0.7	4.6	0.1	0	0	0	4.6
Zm00001d012527	NAC	126	29	NAC-transcription factor 23	NAC domain-containing protein 2	2	mu1072049|mu1081917	UFMu-01872|UFMu-09511	Zm00004b028054	One-to-One	moderate	missense_variant	FALSE	64	0.9895833333333334	acti					0.8	10.1	23.4	2.1	7	3.1	1.6	3.6	86.9	2.2	9	7.3	9
Zm00001d012734	VOZ	5	1	VOZ-transcription factor 5	Vascular plant one zinc finger protein	2	mu1027642|mu1033060	UFMu-07653|UFMu-02864	Zm00004b028235	One-to-One	high	frameshift_variant	FALSE	0							25.1	0.8	40.8	8.4	14.6	13.5	18	1	25.3	9.9	15.8	16.2	9.9
Zm00001d013070	MYB	163	36	MYB-transcription factor 160	Transcription factor MYB98	1	mu1060203	UFMu-08218,UFMu-10850	Zm00004b011070	One-to-One	high	splice_acceptor_variant	FALSE	0							0	0	0	0	0	0	0	0	0	0.5	0	1	1
Zm00001d013119	TCP	42	11	TCP-transcription factor 44	Transcription factor TCP2	2	mu1039067|mu1053544	UFMu-03258|UFMu-06801	Zm00004b011119	One-to-One	moderate	conservative_inframe_insertion	FALSE	0							1.5	1.4	0.4	3.4	1.6	2.4	2.2	1.4	0.2	5.4	0.4	2.3	5.4
Zm00001d013200	Dof	45	9	C2C2-Dof-transcription factor 24	Dof zinc finger protein DOF5.7	1	mu1092020	UFMu-11569	Zm00004b011189	One-to-One	moderate	missense_variant	FALSE	0							1.3	0	0	0	0.3	0	1.5	0	0	0.1	0.6	0.1	1.5
Zm00001d013307	WRKY	121	37	WRKY-transcription factor 113	Probable WRKY transcription factor 74	1	mu1083815	UFMu-10393	Zm00004b011280	One-to-One	moderate	missense_variant	FALSE	0							39.2	34.8	28.4	5.9	19.5	18.8	23.2	23.5	14.9	7.4	20.6	12.6	7.4
Zm00001d013385	GRAS	81	16	GRAS-transcription factor 55	Scarecrow-like protein 7	5	mu1015453|mu1053676|mu1067848|mu1074844|mu1085004	UFMu-01946|UFMu-06545|UFMu-08536|UFMu-04148|UFMu-10404	Zm00004b011336	One-to-One	moderate	missense_variant	FALSE	0							4.3	0.1	13.3	0.5	3	4.1	8.7	0.3	1.9	1	2.2	3.2	8.7
Zm00001d013451	GeBP	20	4	GeBP-transcription factor 5	""	5	mu1005604|mu1038776|mu1048352|mu1056733|mu1077542	UFMu-00386|UFMu-04097|UFMu-06526|UFMu-07363|UFMu-08995	Zm00004b011398	One-to-One	low	synonymous_variant	FALSE	70	1	acti					8.5	4.6	14.3	7	9.9	10.6	11.2	7.1	16.6	11.5	12.1	9.3	9.3
Zm00001d013465	GRAS	81	17	dwarf plant9	Dwarf plant9	4	mu1048355|mu1059960|mu1077544|mu1079663	UFMu-06503|UFMu-07690|UFMu-09282|UFMu-08940,UFMu-12263	Zm00004b011408	One-to-One	moderate	missense_variant	FALSE	5	1	acti	7.002801120448179	1	6	li2013	5.2	3.8	30.9	10.3	19.1	14.5	36.2	4.2	31	31.3	20.4	16.8	4.2
Zm00001d013497	C3H	55	16	C3H-transcription factor 327	Zinc finger CCCH domain-containing protein 30	1	mu1053258	UFMu-06959	Zm00004b011435	One-to-One	moderate	missense_variant	FALSE	0							7.5	7	41.5	13.3	23.4	10.6	12.5	8.4	59	15.6	26.4	8.8	8.8
Zm00001d013676	NF-YA	13	4	CCAAT-HAP2-transcription factor 210	Nuclear transcription factor Y subunit A-10	1	mu1060016	UFMu-07768	Zm00004b011594	One-to-One	moderate	missense_variant	FALSE	1	1	acti					16.2	1.5	15.2	8.1	5.8	5.3	18.9	8	5.9	8.5	5.5	5.2	8.5
Zm00001d013709	WRKY	121	39	GRMZM2G023347	Probable WRKY transcription factor 74	1	mu1079691	UFMu-08991,UFMu-11210	Zm00004b011623	One-to-One	moderate	missense_variant	FALSE	0							9.1	2.5	30.2	6.7	15.2	8.4	5.7	0.9	21.6	4.1	8.8	4.2	8.8
Zm00001d013777	MYB_related	109	29	MYB-related-transcription factor 40	""	2	mu1091739|mu1091740	UFMu-11240|UFMu-11256	Zm00004b011680	One-to-One	high	frameshift_variant	FALSE	239	0.8410041841004184	acti					579.3	228.8	202.7	178	418.6	437.5	395.9	174.5	126.2	146.1	363.5	412.3	412.3
Zm00001d013827	MYB_related	109	30	MYB-related-transcription factor 99	TRF-like 5	1	mu1053434	UFMu-06547	Zm00004b011732,Zm00004b011733	Many-to-One	moderate	missense_variant	FALSE	2	1	acti					21.1	17.4	21.1	19.6	20.5	27.7	24.7	19.3	24.6	17.6	21.4	23.9	24.7
Zm00001d014013	ARF	36	9	ARF-transcription factor 17	Auxin response factor 16	2	mu1042858|mu1077786	UFMu-05295|UFMu-09066	Zm00004b011881	One-to-One	moderate	missense_variant	FALSE	0							82.2	15.4	77.2	18.9	31.8	31.4	53.1	18	68.3	41	35.6	33.3	68.3
Zm00001d014132	E2F/DP	19	5	E2F-DP-transcription factor 218	Transcription factor-like protein DPB	1	mu1053509	UFMu-06852	Zm00004b011993	One-to-One	moderate	missense_variant	FALSE	0							2.2	1	2.9	1.5	3.7	1	5.4	2.7	5	3.2	5.3	2.1	5.4
Zm00001d014378	C3H	55	17	""	30-kDa cleavage and polyadenylation specificity factor 30	1	mu1086679	UFMu-11079,UFMu-11187	Zm00004b012182	One-to-Many	modifier	intron_variant	FALSE	0							27	14.7	32	13.7	19.8	19.2	25.1	14.7	32	17.7	23.6	17.6	32
Zm00001d014507	ARF	36	11	ARF-transcription factor 19	Auxin response factor 16	1	mu1069604	UFMu-08427	Zm00004b012273	One-to-One	high	frameshift_variant	FALSE	0							9.6	22.6	28.3	29.8	18.3	31.1	11.4	34.1	29.8	51.7	17.6	27.6	51.7
Zm00001d014690	ARF	36	12	ARF-transcription factor 35	Auxin response factor 7	1	mu1048693	UFMu-06250	Zm00004b012417	One-to-One	high	splice_acceptor_variant	FALSE	1	1	acti					23	12.1	114.1	17.1	168.1	21.9	20.1	0.5	45	18.9	134.3	15.9	45
Zm00001d014795	bZIP	128	26	bZIP-transcription factor 83	Basic leucine zipper 19	1	mu1042813	UFMu-04889	Zm00004b012518	One-to-One	moderate	missense_variant	FALSE	0							18.8	14.4	41.1	26.4	27.9	38.3	17.9	15.1	23.8	26.1	21.5	35.1	35.1
Zm00001d014814	bHLH	190	47	bHLH-transcription factor 127	Transcription factor bHLH93	4	mu1034966|mu1048707|mu1060260|mu1092026	UFMu-03509|UFMu-06181|UFMu-07758|UFMu-11199	Zm00004b012532	One-to-One	no_change		FALSE	10	1	acti					0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d014863	MYB_related	109	32	MYB-related-transcription factor 96	Protein REVEILLE 7	1	mu1048715	UFMu-06481	Zm00004b012567	One-to-One	moderate	missense_variant	FALSE	56	0.32142857142857145	mix					39.2	14.9	54.2	39.1	37.9	47.5	89.6	44.3	93.7	52.9	44.3	67	93.7
Zm00001d015118	bZIP	128	27	bZIP-transcription factor 14	bZIP transcription factor 16	1	mu1053617	UFMu-06537	Zm00004b012784	One-to-Many	no_change		FALSE	0							4.5	5.7	9.5	16.2	8.7	16.7	3.1	1.6	6.2	21.2	9	19.4	9
Zm00001d015127				""	SWIB/MDM2 domain superfamily protein	1	mu1092086	UFMu-11153	Zm00004b012791	One-to-One	modifier	intron_variant	TRUE	0							47.9	12.5	28.6	23.5	17.1	23.2	44.5	3.3	20.7	20	14	21.5	44.5
Zm00001d015201	Nin-like	17	6	NLP-transcription factor 15	Protein NLP6	1	mu1018800	UFMu-01175	Zm00004b012831	One-to-One	moderate	missense_variant	FALSE	25	0.52	mix					13.1	3.7	10	1.2	27.2	9.7	10.9	2.2	5.4	5.1	20.8	7.7	7.7
Zm00001d015233	SBP	30	10	SBP-transcription factor 27	Squamosa promoter-binding-like protein 2	1	mu1041439	UFMu-04299	Zm00004b012866	One-to-One	moderate	missense_variant	FALSE	0							5.7	6.8	70.6	43	12	15.2	6.2	10.4	45.1	63.2	10.4	12.3	63.2
Zm00001d015412	Trihelix	46	15	""	sequence-specific DNA binding transcription factors	1	mu1083820	UFMu-10402	Zm00004b012995	One-to-One	moderate	missense_variant	FALSE	0			15.625	2	8	li2013,wang2018	6.3	2	5.8	3.4	1.6	1.6	5.8	2.7	3.1	4.2	1.5	1.8	5.8
Zm00001d015743	bZIP	128	31	bZIP-transcription factor 61	Transcription factor HY5	1	mu1073987	UFMu-04510	Zm00004b013218	One-to-One	low	synonymous_variant	FALSE	90	0.7777777777777778	mix					1	0.2	2	36.7	0	44.9	6.7	0	5	4.1	0.3	65.2	65.2
Zm00001d016052	WRKY	121	41	WRKY-transcription factor 2	WRKY transcription factor 22	2	mu1025953|mu1034846	UFMu-11813|UFMu-03320	Zm00004b013450	One-to-One	moderate	missense_variant	FALSE	1	1	acti					5.8	0.5	1.4	2.1	4.5	4.1	6.9	0.6	1.2	1.7	3.3	3.5	6.9
Zm00001d016154	bZIP	128	34	bZIP-transcription factor 89	Basic leucine zipper 34	1	mu1038804	UFMu-03763	Zm00004b013523	One-to-One	moderate	missense_variant	FALSE	60	1	acti	9.110396570203644	1	9	li2013	0.6	0	0	0	35.3	19.8	0.2	0	0	0.3	28.1	28	28.1
Zm00001d016255	HSF	29	7	HSF-transcription factor 18	Heat stress transcription factor C-1	1	mu1086526	UFMu-10749	Zm00004b013608	One-to-One	modifier	5_prime_UTR_variant	FALSE	143	0.9533799533799534	acti	7.414571244358479	1	12	li2013	12.1	1.2	1.8	4.4	8.8	8.2	94.6	4.6	7.9	3	20.9	23.3	94.6
Zm00001d016298	TALE	28	8	Homeobox-transcription factor 2	Homeobox protein ATH1	2	mu1027488|mu1056770	UFMu-09399,UFMu-14002|UFMu-07586	Zm00004b013644	One-to-One	no_change		FALSE	2	1	acti					67.1	1.2	0.6	1.9	2.1	12.2	57.9	5.6	0.3	0.4	1.3	10	57.9
Zm00001d016520	HSF	29	8	HSF-transcription factor 29	Heat stress transcription factor A-5	2	mu1023451|mu1083642	UFMu-02314|UFMu-10398	Zm00004b013825	One-to-One	modifier	intron_variant	FALSE	0							18.1	7.2	39.3	20.7	27.6	14.3	24.6	8.5	37.4	41.2	31.8	15.6	8.5
Zm00001d016604	Trihelix	46	17	""	Trihelix transcription factor ASR3	1	mu1048417	UFMu-06420	Zm00004b013894	One-to-One	moderate	missense_variant	FALSE	0							5.4	11	14.6	15.7	24.2	14.8	6.5	11.8	21.2	19.5	29.7	17.8	6.5
Zm00001d016674	HSF	29	9	HSF-transcription factor 6	Heat shock factor protein 2	2	mu1048425|mu1056797	UFMu-06347|UFMu-07611	Zm00004b013941	One-to-One	moderate	disruptive_inframe_deletion	FALSE	31	0.8064516129032258	acti					4.4	2.3	3.5	2.1	0.9	2.4	0.6	0.7	5	0.8	0.7	0.7	5
Zm00001d016772	FAR1	14	1	FAR1-like-transcription factor 7	Protein FAR1-RELATED SEQUENCE 5	1	mu1038857	UFMu-03865	Zm00004b014028	One-to-One	modifier	intron_variant	FALSE	53	0.949685534591195	acti					4.4	12.6	22.6	11.9	14.2	5.4	6.4	10.8	17.4	14.1	15.7	4.9	6.4
Zm00001d016784	MYB_related	109	35	MYB-related-transcription factor 38	Homeodomain-like superfamily protein	2	mu1027682|mu1069535	UFMu-07303|UFMu-08328	Zm00004b014033	One-to-One	moderate	conservative_inframe_insertion	FALSE	0							19.5	21.9	32.9	15	17.8	13.7	21.8	19.9	32.9	21.6	22.8	13.5	32.9
Zm00001d016873	bHLH	190	52	bHLH-transcription factor 152	Transcription factor bHLH69	2	mu1008506|mu1042964	UFMu-00148|UFMu-05224	Zm00004b014115	One-to-One	moderate	missense_variant	FALSE	0							29.3	22.7	9.7	14	1.6	2.3	58.3	33.6	38.6	22.5	28.7	20.9	58.3
Zm00001d016876	Trihelix	46	19	Trihelix-transcription factor 24	Trihelix transcription factor ASIL2	2	mu1009043|mu1072302	UFMu-00514|UFMu-02178,UFMu-09198	Zm00004b014117	One-to-One	high	frameshift_variant	FALSE	2	1	acti					4	4.1	4.9	3.2	3.5	2.7	7.4	6	7.7	4.9	4.3	3.7	7.7
Zm00001d016911	C2H2	132	44	C2H2-transcription factor 23	C2H2 and C2HC zinc fingers superfamily protein	9	mu1015092|mu1015093|mu1015093|mu1021380|mu1038871|mu1053338|mu1060031|mu1077642|mu1084904	UFMu-01862|UFMu-01903,UFMu-02628,UFMu-03463,UFMu-03818,UFMu-05142|UFMu-09430,UFMu-10953,UFMu-11144,UFMu-12044,UFMu-13137,UFMu-13481|UFMu-01595,UFMu-02852|UFMu-03424|UFMu-06675|UFMu-07726|UFMu-08900|UFMu-10550	Zm00004b014144	One-to-One	moderate	missense_variant	FALSE	0							19.1	12	42.5	19	49.5	25.8	26.6	26.1	53.1	27.6	50.4	30.6	53.1
Zm00001d016924	EIL	9	3	EIL-transcription factor 8	ETHYLENE INSENSITIVE 3-like 5 protein	1	mu1067549	UFMu-08662	Zm00004b014155	One-to-One	moderate	missense_variant	FALSE	0							0	0	0	0	0	1.6	0.9	0	0	0	0	0.3	0.9
Zm00001d017112	B3	45	11	ABI3-VP1-transcription factor 35	B3 domain-containing protein	1	mu1050963	UFMu-06089	Zm00004b014291	One-to-One	high	stop_gained	FALSE	1	1	acti					3.2	10	65.6	7.7	32.5	6.8	20.9	27.8	45	41.8	37.8	14.8	45
Zm00001d017129	GRAS	81	19	GRAS-transcription factor 39	""	1	mu1042956	UFMu-04896	Zm00004b014303	One-to-One	modifier	3_prime_UTR_variant	FALSE	0							6.6	18.4	17.8	17.2	14.4	17.6	8.9	20.7	6.4	25.1	15.4	16.6	8.9
Zm00001d017147	DBB	14	5	double B-box zinc finger protein6	""	3	mu1015131|mu1083666|mu1086578	UFMu-01880|UFMu-10036|UFMu-10782	Zm00004b014318	One-to-One	high	frameshift_variant	FALSE	21	0.7777777777777778	mix					3.9	0.3	123.6	110.4	39.8	145.3	11.1	2.9	118.1	88.2	53.9	149	88.2
Zm00001d017176	DBB	14	6	C2C2-CO-like-transcription factor 3	CONSTANS-like protein CO5	1	mu1091695	UFMu-11276	Zm00004b014341	One-to-One	low	synonymous_variant	FALSE	18	1	acti					67.6	3	7.9	43.3	11.7	50.8	66.5	5.8	13.6	57.7	21.4	45.3	66.5
Zm00001d017366	ERF	177	44	AP2-EREBP-transcription factor 76	Ethylene-responsive transcription factor ERF053	1	mu1022379	UFMu-02189	Zm00004b014507	One-to-One	no_change		FALSE	1	1	acti					0.6	0.1	5.3	0.6	3.5	0.3	1.3	0.4	138.5	1.4	10.3	0.3	138.5
Zm00001d017383	MYB	163	46	MYB-transcription factor 26	myb domain protein 19	1	mu1034730	UFMu-03389	Zm00004b014520	One-to-One	non-syntenic	missense_variant	FALSE	1	1	acti					2.5	6.4	1.3	1	9.6	2.3	3.7	9.5	0.8	1.6	8.9	2	9.5
Zm00001d017409	GATA	36	13	C2C2-GATA-transcription factor 3	GATA zinc finger family protein	5	mu1033775|mu1034922|mu1048486|mu1060063|mu1077666	UFMu-03169|UFMu-03455|UFMu-05984|UFMu-08218,UFMu-11246|UFMu-09182,UFMu-11038	Zm00004b014547	One-to-One	moderate	missense_variant	FALSE	0							9.7	1.2	31.4	8	8.2	19.2	11.7	11.6	22	9.7	8.8	15.8	9.7
Zm00001d017420	Trihelix	46	20	Trihelix-transcription factor 20	GT-2-like 1	1	mu1030109	UFMu-02809	Zm00004b014557	One-to-One	moderate	conservative_inframe_deletion	FALSE	0							22.5	19	17.7	2.1	2.5	8.3	41.5	17.4	5.8	3.2	2.3	8.2	8.2
Zm00001d017480	ERF	177	49	AP2-EREBP-transcription factor 104	Ethylene-responsive transcription factor ERF035	1	mu1091729	UFMu-12278	Zm00004b014607	One-to-One	no_change		FALSE	1	1	acti					0.5	0.4	0.7	10.9	1.6	2.5	1.4	0	0.3	5.9	2.5	4	5.9
Zm00001d017513	GRAS	81	20	GRAS-transcription factor 10	Scarecrow-like protein 6	3	mu1049653|mu1049654|mu1078654	UFMu-06297|UFMu-06482|UFMu-09170	Zm00004b014634	One-to-One	moderate	conservative_inframe_insertion	FALSE	0							7.3	1.2	0.9	4.4	7	6.5	8.7	5	2.7	6.6	8.5	8	8.7
Zm00001d017602	GRF	15	6	GRF-transcription factor 13	""	2	mu1035889|mu1035889	UFMu-03526|UFMu-09477	Zm00004b014708	One-to-One	moderate	missense_variant	FALSE	2	1	acti					18.4	8.7	0	0	0.8	4.7	17.7	1.1	0	0.4	0.6	3	3
Zm00001d017618	B3	45	12	ABI3-VP1-transcription factor 16	B3 domain-containing transcription factor NGA2	1	mu1006942	UFMu-00514,UFMu-01180,UFMu-03171,UFMu-03654,UFMu-07749	Zm00004b014724	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0							0.4	0	0.3	0.6	0.3	1.1	0.3	0	0.3	1	1.5	1.3	1.5
Zm00001d017726	G2-like	61	17	G2-like-transcription factor 11	Homeodomain-like superfamily protein	2	mu1041334|mu1091761	UFMu-04314|UFMu-11939	Zm00004b014823	One-to-One	high	frameshift_variant	FALSE	0							7	0	5.8	5.1	28.6	6.7	26.5	0.1	5.8	4.1	23.2	4.7	5.8
Zm00001d017742	GRF	15	7	GRF-transcription factor 6	Growth-regulating factor 6	3	mu1053392|mu1071203|mu1083682	UFMu-06720|UFMu-02772|UFMu-10448	Zm00004b014844	One-to-One	moderate	missense_variant	FALSE	5	1	acti					53.7	0.1	1.7	1	0	7.8	128.6	1	1.1	0.5	0.1	6.1	6.1
Zm00001d017784	ZF-HD	21	6	ZF-HD-transcription factor 12	Zinc-finger homeodomain protein 5	2	mu1029281|mu1091776	UFMu-03628,UFMu-06364,UFMu-07139,UFMu-10541|UFMu-11277	Zm00004b014876	One-to-One	no_change		FALSE	1	1	acti	191.3972602739726	1	8	wang2018	11.2	0	0.7	1.4	0.7	5	12.2	0	0.4	1.8	0.3	3.9	3.9
Zm00001d018081	ERF	177	52	AP2-EREBP-transcription factor 18	AP2 domain-containing protein	5	mu1019939|mu1048539|mu1067639|mu1075744|mu1084929	UFMu-00876|UFMu-06408|UFMu-08487|UFMu-08487|UFMu-10380	Zm00004b015147	One-to-One	non-syntenic		FALSE	0							31.2	40.2	129.5	126.1	106.9	112.8	109.5	49.1	214.7	49.7	92.1	60.9	92.1
Zm00001d018158	ERF	177	53	AP2-EREBP-transcription factor 139	Ethylene-responsive element binding protein 2	1	mu1081416	UFMu-09903	Zm00004b015205	One-to-One	non-syntenic		FALSE	1	1	acti					0.2	0	0.4	0	0.1	0	0.9	0	1	0	0	0	1
Zm00001d018178	bZIP	128	37	bZIP-transcription factor 4	ABSCISIC ACID-INSENSITIVE 5-like protein 5	2	mu1041361|mu1067645	UFMu-04595|UFMu-08588	Zm00004b015211	One-to-One	non-syntenic	missense_variant	FALSE	56	1	acti					7.5	5.3	27.2	20.5	9.2	12.1	38.2	4.5	110.4	60.8	18.1	15.4	60.8
Zm00001d018198	GeBP	20	5	GeBP-transcription factor 16	""	1	mu1041363	UFMu-04603	Zm00004b015230	One-to-One	moderate	missense_variant	FALSE	0							1.7	0.5	2	1.4	3.2	1.6	2.7	0.1	1.3	1	3.3	1.6	3.3
Zm00001d018208	GeBP	20	6	GeBP-transcription factor 17	protein; Tyrosine specific protein phosphatase-like	1	mu1067648	UFMu-08571	Zm00004b015242	One-to-One	moderate	missense_variant	FALSE	9	1	acti					79.2	64.6	29.8	27.5	39.7	50.2	53.4	28.3	20.7	23.8	23.5	30.6	53.4
Zm00001d018225	HD-ZIP	60	19	Homeobox-transcription factor 71	Homeodomain leucine zipper family IV protein	1	mu1086630	UFMu-11081	Zm00004b015254	One-to-One	no_change		FALSE	11	1	acti					9.4	0	0	0.5	0.5	22.8	5.2	0	0	1	0.6	26.5	5.2
Zm00001d018421	GATA	36	14	C2C2-GATA-transcription factor 24	GATA transcription factor 8	1	mu1081431	UFMu-09986	Zm00004b015422	One-to-One	moderate	disruptive_inframe_insertion	FALSE	7	1	acti					9	29.1	111.4	35.2	42.9	47.4	33.2	34.7	82.6	87.2	47.6	38.8	87.2
Zm00001d018435	NAC	126	40	NAC-transcription factor 104	NAC domain containing protein 74	1	mu1091871	UFMu-11355	Zm00004b015432	One-to-One	no_change		FALSE	5	1	acti					1.2	0	0.4	1.2	8.1	2.4	4.4	2.7	12.8	12.7	13.8	7.1	7.1
Zm00001d018571	bZIP	128	38	bZIP-transcription factor 38	BZIP transcription factor	1	mu1083727	UFMu-10004	Zm00004b015550	One-to-One	modifier	5_prime_UTR_variant	FALSE	0							8.7	1.6	24.7	28.3	19.9	33.8	12.2	4.3	29	29.5	20.9	39.2	4.3
Zm00001d018605	C2H2	132	47	""	Zinc finger, C2H2 type family protein	1	mu1054215	UFMu-06686	Zm00004b034637	One-to-One	no_change		FALSE	4	1	acti					0.4	0	1.6	0	12.1	0.4	0.1	0	1.8	0	17.9	0.3	17.9
Zm00001d018656	WRKY	121	44	WRKY-transcription factor 85	Probable WRKY transcription factor 57	1	mu1045781	UFMu-05440	Zm00004b034679	One-to-One	modifier	intron_variant	FALSE	0							1.2	0.5	4.1	0.8	3.8	2.5	0.7	0.6	5.7	0.7	5	2.5	5.7
Zm00001d018667	MIKC_MADS	42	14	MADS3	MADS3	1	mu1016015	UFMu-02309	Zm00004b034685	One-to-One	moderate	missense_variant	FALSE	1	1	acti					0.3	0	89.1	0	0	0	1	0	51.6	0	0	0	51.6
Zm00001d018702	NAC	126	41	NAC-transcription factor 28	NAC domain-containing protein 72	1	mu1068374	UFMu-08750	Zm00004b034713	One-to-One	moderate	missense_variant	FALSE	0							0	0.1	0	0	0	0	0	0	0	0	0	0	0
Zm00001d018729	bZIP	128	39	bZIP-transcription factor 51	BZIP transcription factor family protein	1	mu1060835	UFMu-07744	Zm00004b034735	One-to-One	moderate	conservative_inframe_deletion	FALSE	0							0	0	0.2	0	0	0	0.7	0	6.5	0.1	0	0	6.5
